"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
RTSTR;RTS Total Return Index;2004-12-31;614.11;614.11;614.11;614.11;0;;
RTSTR;RTS Total Return Index;2005-01-11;607.57;607.57;607.57;607.57;0;;
RTSTR;RTS Total Return Index;2005-01-12;605.46;605.46;605.46;605.46;0;;
RTSTR;RTS Total Return Index;2005-01-13;605.21;605.21;605.21;605.21;0;;
RTSTR;RTS Total Return Index;2005-01-14;611.74;611.74;611.74;611.74;0;;
RTSTR;RTS Total Return Index;2005-01-17;613.62;613.62;613.62;613.62;0;;
RTSTR;RTS Total Return Index;2005-01-18;601.76;601.76;601.76;601.76;0;;
RTSTR;RTS Total Return Index;2005-01-19;599.52;599.52;599.52;599.52;0;;
RTSTR;RTS Total Return Index;2005-01-20;591.67;591.67;591.67;591.67;0;;
RTSTR;RTS Total Return Index;2005-01-21;593.22;593.22;593.22;593.22;0;;
RTSTR;RTS Total Return Index;2005-01-24;599.71;599.71;599.71;599.71;0;;
RTSTR;RTS Total Return Index;2005-01-25;607.14;607.14;607.14;607.14;0;;
RTSTR;RTS Total Return Index;2005-01-26;605.31;605.31;605.31;605.31;0;;
RTSTR;RTS Total Return Index;2005-01-27;612.24;612.24;612.24;612.24;0;;
RTSTR;RTS Total Return Index;2005-01-28;625.15;625.15;625.15;625.15;0;;
RTSTR;RTS Total Return Index;2005-01-31;637.21;637.21;637.21;637.21;0;;
RTSTR;RTS Total Return Index;2005-02-01;640.32;640.32;640.32;640.32;0;;
RTSTR;RTS Total Return Index;2005-02-02;650.98;650.98;650.98;650.98;0;;
RTSTR;RTS Total Return Index;2005-02-03;654.84;654.84;654.84;654.84;0;;
RTSTR;RTS Total Return Index;2005-02-04;654.63;654.63;654.63;654.63;0;;
RTSTR;RTS Total Return Index;2005-02-07;656.59;656.59;656.59;656.59;0;;
RTSTR;RTS Total Return Index;2005-02-08;654.96;654.96;654.96;654.96;0;;
RTSTR;RTS Total Return Index;2005-02-09;656.59;656.59;656.59;656.59;0;;
RTSTR;RTS Total Return Index;2005-02-10;654.6;654.6;654.6;654.6;0;;
RTSTR;RTS Total Return Index;2005-02-11;655.04;655.04;655.04;655.04;0;;
RTSTR;RTS Total Return Index;2005-02-14;653.65;653.65;653.65;653.65;0;;
RTSTR;RTS Total Return Index;2005-02-15;658.66;658.66;658.66;658.66;0;;
RTSTR;RTS Total Return Index;2005-02-16;661.99;661.99;661.99;661.99;0;;
RTSTR;RTS Total Return Index;2005-02-17;665.69;665.69;665.69;665.69;0;;
RTSTR;RTS Total Return Index;2005-02-18;669.08;669.08;669.08;669.08;0;;
RTSTR;RTS Total Return Index;2005-02-21;674.62;674.62;674.62;674.62;0;;
RTSTR;RTS Total Return Index;2005-02-22;673.13;673.13;673.13;673.13;0;;
RTSTR;RTS Total Return Index;2005-02-24;690.23;690.23;690.23;690.23;0;;
RTSTR;RTS Total Return Index;2005-02-25;701.35;701.35;701.35;701.35;0;;
RTSTR;RTS Total Return Index;2005-02-28;716.42;716.42;716.42;716.42;0;;
RTSTR;RTS Total Return Index;2005-03-01;714.1;714.1;714.1;714.1;0;;
RTSTR;RTS Total Return Index;2005-03-02;704.05;704.05;704.05;704.05;0;;
RTSTR;RTS Total Return Index;2005-03-03;702.58;702.58;702.58;702.58;0;;
RTSTR;RTS Total Return Index;2005-03-04;706.76;706.76;706.76;706.76;0;;
RTSTR;RTS Total Return Index;2005-03-05;712.03;712.03;712.03;712.03;0;;
RTSTR;RTS Total Return Index;2005-03-09;716.83;716.83;716.83;716.83;0;;
